<android.net.Uri: android.net.Uri parse(java.lang.String)>
<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
<android.media.MediaPlayer: android.media.MediaPlayer create(android.content.Context,android.net.Uri)>
<android.view.View: android.os.IBinder getWindowToken()>
<android.view.MotionEvent: int getPointerCount()>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<android.util.SparseArray: android.util.SparseArray clone()>
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>
<android.view.KeyEvent: int getDeviceId()>
<android.view.MotionEvent: int getDeviceId()>
<android.view.KeyEvent: int getUnicodeChar(int)>
<android.animation.Animator: android.animation.Animator clone()>
<java.util.Locale: java.lang.String getLanguage()>
<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>
<java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>
<android.view.MotionEvent: int getAction()>
<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>
<android.view.MotionEvent: float getX()>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.view.MotionEvent: float getX(int)>
<android.view.Display: int getOrientation()>
<java.lang.Class: java.lang.reflect.Constructor getConstructor(java.lang.Class[])>
<android.view.InputDevice$MotionRange: float getRange()>
<android.hardware.Sensor: int getType()>
<android.app.Activity: android.app.Application getApplication()>
<android.view.MotionEvent: float getY()>
<java.io.File: java.lang.String getPath()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.util.Locale: java.util.Locale getDefault()>
<java.lang.Throwable: java.lang.String getMessage()>
<android.view.MotionEvent: float getAxisValue(int)>
<android.view.InputDevice$MotionRange: float getFlat()>
<javax.microedition.khronos.egl.EGLContext: javax.microedition.khronos.egl.EGL getEGL()>
<android.view.InputEvent: android.view.InputDevice getDevice()>
<android.app.Activity: android.view.Window getWindow()>
<android.content.ContextWrapper: android.content.pm.ApplicationInfo getApplicationInfo()>
<android.hardware.SensorManager: boolean getRotationMatrix(float[],float[],float[],float[])>
<android.view.InputDevice$MotionRange: float getMin()>
<android.os.Environment: java.lang.String getExternalStorageState()>
<android.util.SparseBooleanArray: android.util.SparseBooleanArray clone()>
<java.lang.Long: long longValue()>
<android.view.MotionEvent: float getSize(int)>
<android.app.Activity: java.lang.Object getSystemService(java.lang.String)>
<java.lang.Enum: java.lang.String toString()>
<java.io.FileInputStream: java.io.FileDescriptor getFD()>
<android.content.ComponentName: android.content.ComponentName clone()>
<android.app.Activity: android.view.WindowManager getWindowManager()>
<android.content.ContextWrapper: java.lang.ClassLoader getClassLoader()>
<android.view.KeyEvent: int getMetaState()>
<java.util.HashMap: java.lang.Object get(java.lang.Object)>
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>
<android.view.MotionEvent: int getSource()>
<java.io.File: java.lang.String getAbsolutePath()>
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>
<java.util.HashMap: java.util.Set entrySet()>
<android.view.MotionEvent: float getY(int)>
<android.view.InputDevice: android.view.InputDevice$MotionRange getMotionRange(int,int)>

<java.security.MessageDigest: byte[] digest()>
<android.view.Window: android.view.WindowManager getWindowManager()>
<java.util.Date: long getTime()>
<android.os.Environment: java.io.File getDataDirectory()>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<java.util.HashMap: java.util.Collection values()>
<android.view.MotionEvent: int getPointerId(int)>
<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>
<android.content.res.Resources: android.content.res.Configuration getConfiguration()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<java.lang.Object: java.lang.Object clone()>
<android.hardware.SensorManager: float[] getOrientation(float[],float[])>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<android.view.KeyEvent: int getRepeatCount()>
