<android.webkit.WebHistoryItem: android.webkit.WebHistoryItem clone()>
<android.content.Intent: android.os.Bundle getExtras()>
<android.os.Parcel: android.os.Parcelable readParcelable(java.lang.ClassLoader)>
<android.content.ContextWrapper: android.content.ContentResolver getContentResolver()>
<java.lang.Class: java.lang.ClassLoader getClassLoader()>
<java.net.URLConnection: int getContentLength()>
<java.net.URL: java.lang.String getProtocol()>
<java.lang.Class: java.lang.reflect.Constructor[] getConstructors()>
<android.app.Notification: android.app.Notification clone()>
<java.text.DateFormat: java.util.Date parse(java.lang.String)>
<android.view.View: android.os.IBinder getApplicationWindowToken()>
<android.webkit.MimeTypeMap: java.lang.String getMimeTypeFromExtension(java.lang.String)>
<java.util.ArrayList: java.lang.Object clone()>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>
<java.util.HashMap: java.util.Set entrySet()>
<android.os.Messenger: android.os.IBinder getBinder()>
<android.text.Layout: float getDesiredWidth(java.lang.CharSequence,android.text.TextPaint)>
<android.view.View: int getVisibility()>
<java.lang.Object: java.lang.Object clone()>
<java.math.BigInteger: byte[] toByteArray()>
<java.io.StringWriter: java.lang.String toString()>
<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>
<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
<android.content.ContextWrapper: java.io.File getDir(java.lang.String,int)>
<java.lang.Long: java.lang.String toString()>
<java.lang.Class: java.lang.Class[] getClasses()>
<android.view.MotionEvent: float getX(int)>
<android.location.Location: float getBearing()>
<java.net.URL: java.lang.String getRef()>
<java.lang.Class: java.lang.String getCanonicalName()>
<java.lang.reflect.Field: java.lang.String getName()>
<android.hardware.Camera: android.hardware.Camera$Parameters getParameters()>
<java.net.InetAddress: java.lang.String getHostAddress()>
<org.json.JSONObject: java.util.Iterator keys()>
<android.location.Location: double getAltitude()>
<android.location.Location: long getTime()>
<java.lang.Number: short shortValue()>
<android.view.Display: int getWidth()>
<android.graphics.drawable.Drawable: android.graphics.drawable.Drawable createFromStream(java.io.InputStream,java.lang.String)>
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>
<android.telephony.TelephonyManager: java.lang.String getNetworkCountryIso()>
<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int)>
<java.util.Date: long getTime()>
<java.lang.reflect.Field: int getInt(java.lang.Object)>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>
<java.util.concurrent.TimeUnit: long toSeconds(long)>
<java.lang.System: java.util.Properties getProperties()>
<java.lang.Runtime: java.lang.Runtime getRuntime()>
<java.lang.reflect.InvocationTargetException: java.lang.Throwable getTargetException()>
<android.content.Intent: android.net.Uri getData()>
<java.security.MessageDigest: byte[] digest(byte[])>
<java.lang.Throwable: java.lang.String getLocalizedMessage()>
<java.io.FileInputStream: java.io.FileDescriptor getFD()>
<android.telephony.TelephonyManager: java.lang.String getNetworkOperatorName()>
<java.text.Format: java.lang.String format(java.lang.Object)>
<org.json.JSONObject: org.json.JSONObject getJSONObject(java.lang.String)>
<android.telephony.TelephonyManager: java.lang.String getSimOperatorName()>
<android.provider.Settings$Secure: java.lang.String getString(android.content.ContentResolver,java.lang.String)>
<android.app.AlertDialog$Builder: android.app.AlertDialog create()>
<java.net.HttpURLConnection: java.io.InputStream getErrorStream()>
<android.content.res.Resources: int getIdentifier(java.lang.String,java.lang.String,java.lang.String)>
<android.os.Bundle: byte[] getByteArray(java.lang.String)>
<android.webkit.CookieSyncManager: android.webkit.CookieSyncManager getInstance()>
<java.io.ObjectInputStream: float readFloat()>
<android.telephony.SmsManager: android.telephony.SmsManager getDefault()>
<java.lang.reflect.Method: java.lang.Class[] getParameterTypes()>
<android.location.Location: float getSpeed()>
<android.telephony.SmsMessage: java.lang.String getMessageBody()>
<java.lang.Class: java.lang.reflect.Method[] getMethods()>
<android.graphics.Bitmap: int getHeight()>
<java.lang.Float: float floatValue()>
<java.util.logging.Logger: java.util.logging.Logger getLogger(java.lang.String)>
<java.util.concurrent.ConcurrentHashMap: java.util.Set keySet()>
<java.util.concurrent.ConcurrentHashMap: java.lang.Object get(java.lang.Object)>
<org.apache.http.entity.BufferedHttpEntity: java.io.InputStream getContent()>
<android.os.HandlerThread: android.os.Looper getLooper()>
<android.content.ContextWrapper: android.content.pm.ApplicationInfo getApplicationInfo()>
<java.util.Date: java.lang.String toString()>
<android.webkit.CookieManager: android.webkit.CookieManager getInstance()>
<java.util.concurrent.atomic.AtomicLong: long get()>
<java.io.File: java.lang.String getName()>
<javax.crypto.Cipher: byte[] doFinal(byte[])>
<java.lang.Class: java.lang.String getName()>
<android.location.LocationManager: boolean isProviderEnabled(java.lang.String)>
<android.media.AudioManager: int getStreamMaxVolume(int)>
<javax.crypto.Mac: byte[] doFinal(byte[])>
<java.lang.reflect.Method: java.lang.String getName()>
<org.json.JSONArray: java.lang.Object get(int)>
<android.app.Dialog: android.content.Context getContext()>
<org.json.JSONObject: long getLong(java.lang.String)>
<java.util.concurrent.ConcurrentHashMap: java.util.Set entrySet()>
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>
<java.util.TimeZone: java.util.TimeZone getTimeZone(java.lang.String)>
<android.media.MediaPlayer: android.media.MediaPlayer create(android.content.Context,android.net.Uri)>
<android.app.PendingIntent: android.app.PendingIntent getBroadcast(android.content.Context,int,android.content.Intent,int)>
<android.widget.AdapterView: java.lang.Object getSelectedItem()>
<android.webkit.WebView: android.webkit.WebSettings getSettings()>
<android.view.View: android.view.animation.Animation getAnimation()>
<java.lang.String: byte[] getBytes(java.lang.String)>
<java.io.File: java.lang.String getPath()>
<java.util.Locale: java.util.Locale getDefault()>
<android.os.Message: android.os.Bundle getData()>
<java.text.NumberFormat: java.text.NumberFormat getCurrencyInstance(java.util.Locale)>
<org.json.JSONObject: java.lang.Object get(java.lang.String)>
<android.app.Activity: java.lang.Object getSystemService(java.lang.String)>
<android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>
<android.view.KeyEvent: int getAction()>
<java.security.MessageDigest: byte[] digest()>
<java.util.HashMap: java.util.Collection values()>
<java.util.Random: long nextLong()>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.view.LayoutInflater: android.view.View inflate(int,android.view.ViewGroup)>
<android.view.View: int getId()>
<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>
<org.json.JSONObject: java.lang.String getString(java.lang.String)>
<android.content.ContextWrapper: java.lang.String getPackageCodePath()>
<java.util.Hashtable: java.lang.Object get(java.lang.Object)>
<java.util.ArrayList: java.util.Iterator iterator()>
<android.net.Uri: java.lang.String encode(java.lang.String)>
<android.content.res.Resources: android.graphics.drawable.Drawable getDrawable(int)>
<java.net.URLConnection: java.io.OutputStream getOutputStream()>
<android.telephony.SmsMessage: android.telephony.SmsMessage createFromPdu(byte[])>
<java.io.ByteArrayOutputStream: java.lang.String toString()>
<android.os.Looper: android.os.Looper getMainLooper()>
<android.location.Location: java.lang.String getProvider()>
<java.io.File: java.lang.String getAbsolutePath()>
<java.nio.Buffer: java.nio.Buffer flip()>
<java.lang.reflect.Constructor: java.lang.Class[] getParameterTypes()>
<java.util.ArrayList: java.lang.Object get(int)>
<java.lang.reflect.Method: java.lang.Class getDeclaringClass()>
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int[],int,int,android.graphics.Bitmap$Config)>
<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>
<android.widget.TextView: android.text.method.KeyListener getKeyListener()>
<android.content.ContentProvider: android.content.Context getContext()>
<java.net.URL: java.lang.String getHost()>
<org.apache.http.conn.scheme.PlainSocketFactory: org.apache.http.conn.scheme.PlainSocketFactory getSocketFactory()>
<org.apache.commons.codec.binary.Base64: byte[] encode(byte[])>
<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>
<java.lang.Thread: java.lang.ClassLoader getContextClassLoader()>
<java.lang.Boolean: java.lang.String toString()>
<android.content.ComponentName: android.content.ComponentName clone()>
<java.util.StringTokenizer: java.lang.Object nextElement()>
<android.net.NetworkInfo: java.lang.String getExtraInfo()>
<org.apache.commons.codec.binary.Base64: byte[] decode(byte[])>
<android.content.BroadcastReceiver: int getResultCode()>
<org.json.JSONTokener: java.lang.Object nextValue()>
<java.io.File: java.lang.String getCanonicalPath()>
<java.lang.Package: java.lang.String getName()>
<android.content.Intent: java.lang.String getStringExtra(java.lang.String)>
<android.app.Activity: android.view.WindowManager getWindowManager()>
<android.location.LocationManager: java.lang.String getBestProvider(android.location.Criteria,boolean)>
<android.view.SurfaceView: android.view.SurfaceHolder getHolder()>
<android.database.sqlite.SQLiteDatabase: int getVersion()>
<java.net.URL: java.lang.String getPath()>
<java.net.URL: java.lang.String getQuery()>
<java.net.URI: java.lang.String getHost()>
<java.lang.Class: java.lang.reflect.Field getField(java.lang.String)>
<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>
<java.io.InputStream: long skip(long)>
<java.net.HttpURLConnection: java.lang.String getResponseMessage()>
<android.sax.RootElement: org.xml.sax.ContentHandler getContentHandler()>
<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>
<android.webkit.WebSettings: java.lang.String getUserAgentString()>
<java.util.concurrent.atomic.AtomicInteger: int get()>
<android.app.Activity: android.view.MenuInflater getMenuInflater()>
<android.content.ContextWrapper: java.io.File getFileStreamPath(java.lang.String)>
<java.net.URI: java.lang.String toASCIIString()>
<java.util.HashMap: java.util.Set keySet()>
<java.lang.Number: byte byteValue()>
<android.webkit.MimeTypeMap: android.webkit.MimeTypeMap getSingleton()>
<java.util.regex.Matcher: java.lang.String group()>
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>
<java.lang.Byte: byte byteValue()>

<android.view.MotionEvent: long getEventTime()>
<android.content.res.Resources: android.content.res.Configuration getConfiguration()>
<android.widget.EditText: android.text.Editable getText()>
<android.widget.TextView: float getTextSize()>
<android.view.MotionEvent: int getPointerCount()>
<java.util.zip.ZipEntry: java.lang.String getName()>
<android.view.MotionEvent: float getX()>
<java.lang.ref.ReferenceQueue: java.lang.ref.Reference poll()>
<java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>
<java.io.ObjectInputStream: long readLong()>
<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>
<android.os.Bundle: android.os.Parcelable getParcelable(java.lang.String)>
<android.telephony.TelephonyManager: java.lang.String getNetworkOperator()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.nio.charset.CharsetEncoder: java.nio.charset.CoderResult encode(java.nio.CharBuffer,java.nio.ByteBuffer,boolean)>
<java.lang.String: char[] toCharArray()>
<java.lang.Class: java.lang.String getSimpleName()>
<android.telephony.TelephonyManager: java.lang.String getSimCountryIso()>
<android.graphics.Paint: android.graphics.Paint$FontMetricsInt getFontMetricsInt()>
<java.lang.reflect.Method: java.lang.Class getReturnType()>
<android.content.Context: java.lang.CharSequence getText(int)>
<java.net.URI: java.lang.String getScheme()>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<java.lang.Class: java.lang.Package getPackage()>
<android.location.Location: double getLatitude()>
<android.content.Intent: boolean getBooleanExtra(java.lang.String,boolean)>
<android.app.AlertDialog$Builder: android.app.AlertDialog show()>
<java.lang.reflect.Field: int getModifiers()>
<android.content.ContextWrapper: java.lang.String getPackageName()>
<android.widget.ImageView: android.graphics.drawable.Drawable getDrawable()>
<java.net.HttpURLConnection: int getResponseCode()>
<java.io.File: java.lang.String[] list()>
<java.lang.ThreadLocal: java.lang.Object get()>
<java.text.NumberFormat: java.lang.String format(double)>
<org.apache.http.conn.ssl.SSLSocketFactory: org.apache.http.conn.ssl.SSLSocketFactory getSocketFactory()>
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>
<java.lang.Throwable: java.lang.Throwable getCause()>
<android.os.Environment: java.lang.String getExternalStorageState()>
<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
<android.content.Intent: java.lang.String toString()>
<android.text.method.PasswordTransformationMethod: android.text.method.PasswordTransformationMethod getInstance()>
<java.lang.System: java.lang.String getProperty(java.lang.String)>
<java.lang.reflect.Array: java.lang.Object get(java.lang.Object,int)>
<java.io.File: java.io.File getParentFile()>
<android.widget.TextView: int getGravity()>
<java.math.BigInteger: long longValue()>
<android.app.Activity: android.content.Intent getIntent()>
<java.lang.Class: java.lang.reflect.Field getDeclaredField(java.lang.String)>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>
<android.content.Intent: long getLongExtra(java.lang.String,long)>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<android.content.res.Resources: android.util.DisplayMetrics getDisplayMetrics()>
<android.telephony.SmsMessage: java.lang.String getOriginatingAddress()>
<java.net.NetworkInterface: java.util.Enumeration getNetworkInterfaces()>
<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>
<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int[])>
<java.net.URLConnection: java.lang.String getContentEncoding()>
<android.media.ExifInterface: int getAttributeInt(java.lang.String,int)>
<java.lang.Throwable: java.lang.String getMessage()>
<javax.microedition.khronos.egl.EGLContext: javax.microedition.khronos.egl.EGL getEGL()>
<android.content.ContextWrapper: android.content.Context getApplicationContext()>
<java.lang.reflect.Method: int getModifiers()>
<java.lang.Class: int getModifiers()>
<java.lang.String: java.lang.String trim()>
