<android.net.Uri: android.net.Uri parse(java.lang.String)>
<java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>
<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
<android.content.ContextWrapper: java.lang.String getPackageName()>
<android.content.ComponentName: android.content.ComponentName clone()>
<android.content.ContextWrapper: android.content.res.Resources getResources()>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<android.util.SparseArray: android.util.SparseArray clone()>
<android.view.MotionEvent: int getPointerCount()>
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>
<android.animation.Animator: android.animation.Animator clone()>
<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>
<android.os.Handler: android.os.Looper getLooper()>
<android.view.MotionEvent: int getAction()>
<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>
<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int[])>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.view.MotionEvent: float getX(int)>
<java.lang.Class: java.lang.reflect.Constructor getConstructor(java.lang.Class[])>
<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>
<java.net.HttpURLConnection: int getResponseCode()>
<android.content.ContextWrapper: android.content.ContentResolver getContentResolver()>
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>
<android.view.MotionEvent: int getActionIndex()>
<android.os.HandlerThread: android.os.Looper getLooper()>
<java.io.File: java.lang.String getPath()>
<java.lang.String: byte[] getBytes(java.lang.String)>
<java.util.Locale: java.util.Locale getDefault()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.lang.Throwable: java.lang.String getMessage()>
<android.app.Activity: android.view.Window getWindow()>
<android.content.ContextWrapper: android.content.pm.ApplicationInfo getApplicationInfo()>
<android.content.res.Resources: android.content.res.AssetManager getAssets()>
<java.lang.String: java.lang.String trim()>
<android.os.Environment: java.lang.String getExternalStorageState()>
<android.util.SparseBooleanArray: android.util.SparseBooleanArray clone()>
<android.app.Activity: int getRequestedOrientation()>
<java.lang.Long: long longValue()>
<android.app.Activity: java.lang.Object getSystemService(java.lang.String)>
<java.lang.Enum: java.lang.String toString()>
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>
<java.lang.String: char[] toCharArray()>
<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
<android.content.Intent: java.lang.String getStringExtra(java.lang.String)>
<android.content.ContextWrapper: java.io.File getFileStreamPath(java.lang.String)>
<android.content.ContextWrapper: java.lang.ClassLoader getClassLoader()>
<java.lang.String: byte[] getBytes()>
<javax.crypto.Cipher: byte[] doFinal(byte[])>
<java.lang.Class: java.lang.String getName()>
<android.provider.Settings$Secure: java.lang.String getString(android.content.ContentResolver,java.lang.String)>
<android.app.AlertDialog$Builder: android.app.AlertDialog create()>
<java.net.URLConnection: java.io.OutputStream getOutputStream()>
<java.io.ByteArrayOutputStream: byte[] toByteArray()>
<java.lang.StringBuffer: java.lang.String toString()>
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>
<android.view.KeyEvent: int getAction()>
<android.view.KeyEvent: int getKeyCode()>
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>
<android.view.MotionEvent: float getY(int)>
<android.view.SurfaceView: android.view.SurfaceHolder getHolder()>

<android.content.res.Resources: android.content.res.Configuration getConfiguration()>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<android.view.MotionEvent: int getPointerId(int)>
<java.net.URLConnection: java.io.InputStream getInputStream()>
<android.graphics.Bitmap: int getWidth()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<java.lang.Object: java.lang.Object clone()>
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>
<javax.crypto.spec.SecretKeySpec: byte[] getEncoded()>
<java.security.Signature: java.security.Signature getInstance(java.lang.String)>
<javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<android.widget.EditText: android.text.Editable getText()>
<android.graphics.Bitmap: int getHeight()>
<android.view.View: int getWidth()>
