<android.content.Intent: java.lang.String getDataString()>
<android.view.MotionEvent: int getPointerCount()>
<android.app.PendingIntent: android.app.PendingIntent getBroadcast(android.content.Context,int,android.content.Intent,int)>
<android.content.Intent: android.os.Bundle getExtras()>
<android.content.ContextWrapper: java.io.File getCacheDir()>
<android.telephony.gsm.GsmCellLocation: int getCid()>
<java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>
<java.security.Provider: java.util.Set entrySet()>
<android.content.ContextWrapper: android.content.ContentResolver getContentResolver()>
<android.os.Bundle: android.os.Parcelable getParcelable(java.lang.String)>
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>
<java.util.Locale: java.lang.String getDisplayCountry(java.util.Locale)>
<android.telephony.TelephonyManager: java.lang.String getNetworkOperator()>
<java.lang.String: byte[] getBytes(java.lang.String)>
<java.io.File: java.lang.String getPath()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.util.Locale: java.util.Locale getDefault()>
<android.location.GpsSatellite: float getSnr()>
<android.content.ContextWrapper: android.content.res.AssetManager getAssets()>
<android.telephony.SignalStrength: int getGsmSignalStrength()>
<javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>
<java.lang.Class: java.lang.ClassLoader getClassLoader()>
<org.apache.http.message.AbstractHttpMessage: org.apache.http.Header[] getAllHeaders()>
<android.os.Message: android.os.Bundle getData()>
<java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>
<java.lang.String: char[] toCharArray()>
<java.lang.Class: java.lang.String getSimpleName()>
<android.app.Activity: java.lang.Object getSystemService(java.lang.String)>
<android.view.View: android.os.Handler getHandler()>
<android.content.Intent: java.lang.String getAction()>
<java.util.Scanner: java.lang.Object next()>
<android.content.pm.Signature: byte[] toByteArray()>
<android.net.wifi.WifiInfo: java.lang.String getBSSID()>
<java.nio.ByteBuffer: java.nio.ByteBuffer get(byte[],int,int)>
<java.util.HashMap: java.lang.Object get(java.lang.Object)>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>
<java.util.HashMap: java.util.Set entrySet()>
<android.os.Messenger: android.os.IBinder getBinder()>
<java.security.MessageDigest: byte[] digest()>
<java.util.concurrent.atomic.AtomicInteger: int getAndIncrement()>
<android.media.AudioManager: int getStreamVolume(int)>
<java.util.Calendar: java.util.Calendar getInstance()>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<java.lang.Object: java.lang.Object clone()>
<android.content.Intent: boolean getBooleanExtra(java.lang.String,boolean)>
<android.location.LocationManager: android.location.GpsStatus getGpsStatus(android.location.GpsStatus)>
<android.content.ContextWrapper: java.lang.String getPackageName()>
<android.content.ContextWrapper: java.io.File getDir(java.lang.String,int)>
<java.util.AbstractMap: java.lang.Object put(java.lang.Object,java.lang.Object)>
<java.lang.Class: java.lang.annotation.Annotation getAnnotation(java.lang.Class)>
<android.telephony.TelephonyManager: int getSimState()>
<java.lang.Class: java.lang.reflect.Constructor getConstructor(java.lang.Class[])>
<android.content.ComponentName: java.lang.String getPackageName()>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.view.MotionEvent: float getX(int)>
<java.util.AbstractMap: java.lang.Object get(java.lang.Object)>
<java.net.HttpURLConnection: int getResponseCode()>
<android.app.ActivityManager: java.util.List getRunningTasks(int)>
<android.view.View: int getId()>
<android.content.Context: java.lang.String getString(int)>
<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>
<android.content.ContextWrapper: java.io.File getFilesDir()>
<android.content.ContextWrapper: java.lang.Object getSystemService(java.lang.String)>
<java.lang.String: java.lang.String toString()>
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>
<org.json.JSONObject: java.lang.String getString(java.lang.String)>
<android.os.Environment: java.lang.String getExternalStorageState()>
<java.security.Provider: java.lang.Object put(java.lang.Object,java.lang.Object)>
<android.view.Display: int getWidth()>
<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
<java.util.Hashtable: java.lang.Object get(java.lang.Object)>
<java.util.ArrayList: java.util.Iterator iterator()>
<android.content.res.Resources: android.graphics.drawable.Drawable getDrawable(int)>
<java.net.URLConnection: java.io.OutputStream getOutputStream()>
<android.os.Looper: android.os.Looper getMainLooper()>
<java.io.File: java.lang.String getAbsolutePath()>
<android.content.ContextWrapper: android.content.Context getBaseContext()>
<java.util.ArrayList: java.lang.Object get(int)>
<android.telephony.gsm.GsmCellLocation: int getLac()>
<java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>
<android.content.Intent: android.os.Parcelable getParcelableExtra(java.lang.String)>
<android.net.NetworkInfo: java.lang.String getTypeName()>
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>
<java.net.URLConnection: java.io.InputStream getInputStream()>
<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>
<java.lang.Class: java.lang.reflect.Field getDeclaredField(java.lang.String)>
<android.os.Bundle: boolean getBoolean(java.lang.String)>
<java.util.Locale: java.lang.String getDisplayLanguage(java.util.Locale)>
<org.apache.http.conn.scheme.PlainSocketFactory: org.apache.http.conn.scheme.PlainSocketFactory getSocketFactory()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<java.util.Locale: java.lang.String getDisplayName(java.util.Locale)>
<android.provider.Settings$System: java.lang.String getString(android.content.ContentResolver,java.lang.String)>
<java.security.KeyStore: java.lang.String getDefaultType()>
<android.content.ComponentName: android.content.ComponentName clone()>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>
<android.net.NetworkInfo: java.lang.String getExtraInfo()>
<android.animation.Animator: android.animation.Animator clone()>
<android.util.SparseArray: java.lang.Object get(int)>
<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>
<java.lang.Runtime: java.lang.Runtime getRuntime()>
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>
<android.content.Intent: android.net.Uri getData()>
<android.app.Activity: android.view.Window getWindow()>
<android.location.GpsStatus: java.lang.Iterable getSatellites()>
<java.security.MessageDigest: byte[] digest(byte[])>
<android.content.ContextWrapper: android.content.Context getApplicationContext()>
<java.lang.String: java.lang.String trim()>
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>
<java.lang.Thread: java.lang.Thread$UncaughtExceptionHandler getDefaultUncaughtExceptionHandler()>
<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>
<java.lang.Enum: java.lang.String toString()>
<android.content.Intent: java.lang.String getStringExtra(java.lang.String)>
<android.telephony.TelephonyManager: int getNetworkType()>
<org.json.JSONObject: org.json.JSONObject getJSONObject(java.lang.String)>
<android.provider.Settings$Secure: java.lang.String getString(android.content.ContentResolver,java.lang.String)>
<java.lang.StringBuffer: java.lang.String toString()>
<java.text.DateFormat: java.lang.String format(java.util.Date)>
<java.io.ByteArrayOutputStream: byte[] toByteArray()>
<java.lang.Thread: java.lang.ThreadGroup getThreadGroup()>
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>
<java.util.AbstractList: java.util.Iterator iterator()>
<java.io.File: java.io.File[] listFiles()>
<android.os.Bundle: java.lang.String getString(java.lang.String)>
<android.os.Bundle: int getInt(java.lang.String)>
<android.net.Uri: android.net.Uri parse(java.lang.String)>
<org.json.JSONObject: int getInt(java.lang.String)>
<android.net.NetworkInfo: int getType()>
<java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>
