<android.webkit.WebHistoryItem: android.webkit.WebHistoryItem clone()>
<android.view.MotionEvent: int getPointerCount()>
<android.app.PendingIntent: android.app.PendingIntent getBroadcast(android.content.Context,int,android.content.Intent,int)>
<android.view.MotionEvent: float getX()>
<android.webkit.WebView: android.webkit.WebSettings getSettings()>
<java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>
<android.view.MotionEvent: float getY()>
<java.io.File: java.lang.String getPath()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.lang.Double: double doubleValue()>
<java.net.URLConnection: int getContentLength()>
<android.app.Activity: java.lang.Object getSystemService(java.lang.String)>
<android.content.Intent: java.lang.String getAction()>
<org.json.JSONStringer: org.json.JSONStringer endObject()>
<java.util.HashMap: java.lang.Object get(java.lang.Object)>
<android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>
<android.view.KeyEvent: int getKeyCode()>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>
<java.security.MessageDigest: byte[] digest()>
<java.util.Calendar: java.util.Calendar getInstance()>
<android.media.AudioManager: int getStreamVolume(int)>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<java.lang.Object: java.lang.Object clone()>
<android.app.AlertDialog$Builder: android.app.AlertDialog show()>
<android.content.ContextWrapper: java.lang.String getPackageName()>
<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
<android.telephony.TelephonyManager: int getSimState()>
<java.lang.Class: java.lang.reflect.Constructor getConstructor(java.lang.Class[])>
<android.view.MotionEvent: int getAction()>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.telephony.TelephonyManager: java.lang.String getLine1Number()>
<android.graphics.Paint: int getTextWidths(java.lang.String,float[])>
<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>
<java.lang.String: java.lang.String toString()>
<org.json.JSONObject: java.lang.String getString(java.lang.String)>
<android.os.Environment: java.lang.String getExternalStorageState()>
<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
<java.util.ArrayList: java.util.Iterator iterator()>
<java.net.URLConnection: java.io.OutputStream getOutputStream()>
<android.telephony.TelephonyManager: java.lang.String getSimOperator()>
<java.io.ByteArrayOutputStream: java.lang.String toString()>
<java.io.File: java.lang.String getAbsolutePath()>
<javax.crypto.Cipher: int getBlockSize()>
<java.util.ArrayList: java.lang.Object get(int)>
<android.app.Activity: android.content.Intent getIntent()>
<java.net.URLConnection: java.io.InputStream getInputStream()>
<java.lang.Class: java.lang.reflect.Field getDeclaredField(java.lang.String)>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<android.net.NetworkInfo: int getSubtype()>
<android.view.View: int getWidth()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<android.content.ComponentName: android.content.ComponentName clone()>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<android.content.res.Resources: android.util.DisplayMetrics getDisplayMetrics()>
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>
<java.io.RandomAccessFile: long length()>
<android.animation.Animator: android.animation.Animator clone()>
<java.lang.Runtime: java.lang.Runtime getRuntime()>
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>
<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int[])>
<android.telephony.SmsManager: java.util.ArrayList divideMessage(java.lang.String)>
<org.apache.http.util.EncodingUtils: java.lang.String getString(byte[],java.lang.String)>
<android.app.Activity: android.view.Window getWindow()>
