<android.net.Uri: android.net.Uri parse(java.lang.String)>
<android.app.ListActivity: android.widget.ListView getListView()>
<android.content.ComponentName: android.content.ComponentName clone()>
<android.util.SparseArray: android.util.SparseArray clone()>
<android.content.Intent: android.os.Bundle getExtras()>
<android.net.NetworkInfo: android.net.NetworkInfo$State getState()>
<android.view.View: java.lang.Object getTag()>
<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
<org.json.JSONObject: org.json.JSONArray getJSONArray(java.lang.String)>
<android.animation.Animator: android.animation.Animator clone()>
<android.widget.EditText: android.text.Editable getText()>
<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>
<java.lang.Class: java.lang.reflect.Constructor getConstructor(java.lang.Class[])>
<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String)>
<android.view.LayoutInflater: android.view.View inflate(int,android.view.ViewGroup)>
<java.net.HttpURLConnection: int getResponseCode()>
<java.net.URLConnection: java.lang.String getHeaderField(java.lang.String)>
<java.io.File: java.lang.String getPath()>
<android.view.View: int getId()>
<java.lang.StringBuilder: java.lang.String toString()>
<java.lang.Throwable: java.lang.String getMessage()>
<android.content.ContextWrapper: android.content.res.AssetManager getAssets()>
<android.content.Context: java.lang.String getString(int)>
<android.app.Activity: android.view.Window getWindow()>
<android.content.ContextWrapper: android.content.pm.ApplicationInfo getApplicationInfo()>
<java.lang.String: java.lang.String trim()>
<org.json.JSONObject: java.lang.String getString(java.lang.String)>
<android.os.Environment: java.lang.String getExternalStorageState()>
<android.util.SparseBooleanArray: android.util.SparseBooleanArray clone()>
<java.lang.String: char[] toCharArray()>
<java.lang.Enum: java.lang.String toString()>
<android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>
<android.content.ContextWrapper: java.lang.ClassLoader getClassLoader()>
<org.json.JSONObject: org.json.JSONObject getJSONObject(java.lang.String)>
<java.util.HashMap: java.lang.Object get(java.lang.Object)>
<android.widget.Toast: android.widget.Toast makeText(android.content.Context,java.lang.CharSequence,int)>
<android.app.AlertDialog$Builder: android.app.AlertDialog create()>
<java.net.URLConnection: java.io.OutputStream getOutputStream()>
<java.io.ByteArrayOutputStream: byte[] toByteArray()>
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>
<java.io.File: java.lang.String toString()>

<java.util.ArrayList: java.lang.Object get(int)>
<android.os.Bundle: int getInt(java.lang.String)>
<android.view.View: int getVisibility()>
<android.app.Activity: android.content.Intent getIntent()>
<android.view.animation.Animation: android.view.animation.Animation clone()>
<java.net.URLConnection: java.io.InputStream getInputStream()>
<android.os.Environment: java.io.File getExternalStorageDirectory()>
<java.lang.Object: java.lang.Object clone()>
<android.database.sqlite.SQLiteOpenHelper: android.database.sqlite.SQLiteDatabase getReadableDatabase()>
<android.os.Bundle: java.lang.String getString(java.lang.String)>
<java.io.StringWriter: java.lang.String toString()>
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>
<android.app.AlertDialog$Builder: android.app.AlertDialog show()>
